paper_id_or_gap_id	publication_type	peer_review_status	venue_exact	issn	venue_family	venue_rank_scheme	venue_rank_value	venue_rank_year	rank_evidence_id	crossref_type	notes
P0406	proceedings-article	peer_reviewed	Proceedings of the 26th Conference on Program Comprehension		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0407	proceedings-article	peer_reviewed	2013 IEEE International Conference on Services Computing							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0408	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0409	journal-article	peer_reviewed	IEEE Transactions on Knowledge and Data Engineering	1041-4347		sjr	Q1	2024	SJR2024-TKDE	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0410	proceedings-article	peer_reviewed	2017 IEEE International Conference on Web Services (ICWS)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0411	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0412	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0413	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0414	proceedings-article	peer_reviewed	2022 IEEE International Conference on Software Maintenance and Evolution (ICSME)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0415	proceedings-article	peer_reviewed	Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0416	proceedings-article	peer_reviewed	Proceedings of the 38th International Conference on Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0417	proceedings-article	peer_reviewed	Proceedings of the 19th ACM SIGSOFT symposium and the 13th European conference on Foundations of software engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0418	proceedings-article	peer_reviewed	Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0419	proceedings-article	peer_reviewed	Proceedings of the 36th International Conference on Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0420	proceedings-article	peer_reviewed	2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0421	proceedings-article	peer_reviewed	Proceedings of the ACM SIGOPS 22nd symposium on Operating systems principles		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0422	proceedings-article	unknown	Proceedings of the 3rd IEEE Workshop on IP Operations &amp; Management (IPOM 2003) (IEEE Cat. No.03EX764)		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0423	proceedings-article	peer_reviewed	Proceedings of the 38th International Conference on Software Engineering Companion		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0424	proceedings-article	peer_reviewed	2008 IEEE International Symposium on Parallel and Distributed Processing							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0425	proceedings-article	peer_reviewed	2015 IEEE 26th International Symposium on Software Reliability Engineering (ISSRE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0426	proceedings-article	peer_reviewed	Annual Technical Conference (full paper)								catalog evidence; primary_page_citation_tags
P0427	proceedings-article	peer_reviewed	2013 35th International Conference on Software Engineering (ICSE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0428	proceedings-article	peer_reviewed	2009 Ninth IEEE International Conference on Data Mining							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0429	proceedings-article	peer_reviewed	2017 IEEE 28th International Symposium on Software Reliability Engineering (ISSRE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0430	proceedings-article	peer_reviewed	Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0431	proceedings-article	peer_reviewed	2009 Ninth IEEE International Conference on Data Mining							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0432	journal-article	peer_reviewed	ACM SIGPLAN Notices		conference_journal_series					journal-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0433	proceedings-article	peer_reviewed	Proceedings of the eleventh ACM SIGKDD international conference on Knowledge discovery in data mining		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0434	proceedings-article	peer_reviewed	2016 IEEE 27th International Symposium on Software Reliability Engineering (ISSRE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0435	proceedings-article	peer_reviewed	Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0438	journal-article	peer_reviewed	IEEE Transactions on Cognitive Communications and Networking	2332-7731		sjr	Q1	2024	SJR2024-TCCN	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0439	journal-article	peer_reviewed	Information Systems Frontiers	1387-3326		sjr	Q1	2024	SJR2024-ISF	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0440	proceedings-article	peer_reviewed	2018 IEEE 16th Intl Conf on Dependable, Autonomic and Secure Computing, 16th Intl Conf on Pervasive Intelligence and Computing, 4th Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress(DASC/PiCom/DataCom/CyberSciTech)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0441	proceedings-article	peer_reviewed	Proceedings of the First Workshop on Machine Learning for Computing Systems		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0442	journal-article	peer_reviewed	Proceedings of the ACM on Measurement and Analysis of Computing Systems		conference_journal_series					journal-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0443	proceedings-article	peer_reviewed	Proceedings of the 27th International Symposium on High-Performance Parallel and Distributed Computing		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0444	proceedings-article	peer_reviewed	Proceedings of the ninth ACM SIGKDD international conference on Knowledge discovery and data mining		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0445	proceedings-article	peer_reviewed	2020 IEEE International Parallel and Distributed Processing Symposium (IPDPS)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0446	proceedings-article	peer_reviewed	2017 IEEE International Conference on Cluster Computing (CLUSTER)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0447	proceedings-article	peer_reviewed	2014 IEEE International Conference on Cluster Computing (CLUSTER)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0448	proceedings-article	peer_reviewed	Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0449	proceedings-article	peer_reviewed	2019 IEEE/ACM 41st International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0450	journal-article	peer_reviewed	ACM SIGPLAN Notices		conference_journal_series					journal-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0451	proceedings-article	peer_reviewed	Proceedings of the eighteenth international symposium on Software testing and analysis		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0452	proceedings-article	peer_reviewed	2016 IEEE International Conference on Cloud Engineering (IC2E)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0453	proceedings-article	peer_reviewed	2017 IEEE International Conference on Web Services (ICWS)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0454	proceedings-article	peer_reviewed	2017 IEEE 10th International Conference on Cloud Computing (CLOUD)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0455	proceedings-article	peer_reviewed	Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0456	journal-article	peer_reviewed	IEEE Transactions on Parallel and Distributed Systems	1045-9219		sjr	Q1	2024	SJR2024-TPDS	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0457	journal-article	peer_reviewed	ACM SIGPLAN Notices		conference_journal_series					journal-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0458	proceedings-article	peer_reviewed	2017 IEEE International Conference on Web Services (ICWS)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0459	proceedings-article	peer_reviewed	2015 11th European Dependable Computing Conference (EDCC)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0460	proceedings-article	peer_reviewed	2010 International Conference on High Performance Computing							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0461	proceedings-article	peer_reviewed	2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0462	proceedings-article	peer_reviewed	9th USENIX Symposium on Networked Systems Design and Implementation (NSDI 12)								catalog evidence; primary_page_citation_tags
P0463	proceedings-article	peer_reviewed	2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0464	proceedings-article	peer_reviewed	2018 IEEE Global Communications Conference (GLOBECOM)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0465	proceedings-article	peer_reviewed	2014 44th Annual IEEE/IFIP International Conference on Dependable Systems and Networks							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0466	proceedings-article	peer_reviewed	2019 IEEE 12th International Conference on Cloud Computing (CLOUD)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0467	proceedings-article	peer_reviewed	7th USENIX Conference on File and Storage Technologies (FAST 09)								catalog evidence; primary_page_citation_tags
P0468	proceedings-article	peer_reviewed	2013 43rd Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0469	proceedings-article	peer_reviewed	2014 44th Annual IEEE/IFIP International Conference on Dependable Systems and Networks							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0470	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0471	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0472	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0473	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0474	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0475	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0476	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0477	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0478	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0479	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0480	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0481	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0482	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0483	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0484	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0485	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0486	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0487	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0488	proceedings-article	peer_reviewed	Findings of the Association for Computational Linguistics: EMNLP 2025								catalog evidence; primary_page_citation_tags
P0489	proceedings-article	peer_reviewed	Proceedings of the 34th ACM International Conference on Information and Knowledge Management		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0490	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0491	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0492	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0493	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0494	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0495	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0497	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0498	proceedings-article	peer_reviewed	Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0499	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0500	proceedings-article	peer_reviewed	Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0501	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0502	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0503	proceedings-article	peer_reviewed	2023 IEEE International Conference on Big Data (BigData)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0504	proceedings-article	peer_reviewed	Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP)		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0505	proceedings-article	peer_reviewed	Proceedings of the 42nd International ACM SIGIR Conference on Research and Development in Information Retrieval		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0506	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0507	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0508	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0509	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0510	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0511	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0512	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0513	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0514	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0515	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0516	proceedings-article	peer_reviewed	Advances in Neural Information Processing Systems 37							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0517	proceedings-article	peer_reviewed	Findings of the Association for Computational Linguistics: ACL 2024								catalog evidence; primary_page_citation_tags
P0518	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0519	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0520	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0521	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0522	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0523	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0524	journal-article	peer_reviewed	Proceedings of the AAAI Symposium Series		conference_journal_series					journal-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0525	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0526	proceedings-article	peer_reviewed	Proceedings of the 33rd ACM International Conference on Information and Knowledge Management		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0527	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0528	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0529	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0530	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0531	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0532	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0533	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0534	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0535	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0536	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0538	proceedings-article	peer_reviewed	Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0539	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0540	proceedings-article	peer_reviewed	Proceedings of the ACM Web Conference 2023		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0541	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0542	journal-article	peer_reviewed	Proceedings of the AAAI Conference on Artificial Intelligence		conference_journal_series					journal-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0543	proceedings-article	peer_reviewed	Findings of the Association for Computational Linguistics: ACL 2023								catalog evidence; primary_page_citation_tags
P0544	proceedings-article	peer_reviewed	Findings of the Association for Computational Linguistics: EACL 2024								catalog evidence; primary_page_citation_tags
P0545	journal-article	peer_reviewed	Knowledge-Based Systems	0950-7051		sjr	Q1	2024	SJR2024-KBS	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0546	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0547	proceedings-article	peer_reviewed	Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0548	journal-article	peer_reviewed	Proceedings of the AAAI Conference on Artificial Intelligence		conference_journal_series					journal-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0549	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0550	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0551	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0552	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0553	proceedings-article	peer_reviewed	Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 3: System Demonstrations)		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0554	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0555	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0556	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0557	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0558	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0559	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0560	posted-content	not_applicable								posted-content	catalog evidence; publisher_deposited_crossref_metadata
P0561	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0562	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0563	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0564	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0565	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0566	journal-article	peer_reviewed	Transactions of the Association for Computational Linguistics	2307-387X		sjr	Q1	2024	SJR2024-TACL	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0567	journal-article	peer_reviewed	Transactions of the Association for Computational Linguistics	2307-387X		sjr	Q1	2024	SJR2024-TACL	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0568	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0569	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0570	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0571	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0572	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0573	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0574	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0576	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0577	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0578	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0579	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0580	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0581	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0582	proceedings-article	peer_reviewed	Proceedings of the 1st Workshop on Simulating Conversational Intelligence in Chat (SCI-CHAT 2024)		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0583	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0584	proceedings-article	peer_reviewed	International Conference on Machine Learning								catalog evidence; primary_page_citation_tags
P0585	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0586	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0587	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0588	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0589	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0590	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0591	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0592	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0593	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0594	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0595	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0598	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0600	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0601	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0603	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0604	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0605	proceedings-article	peer_reviewed	Proceedings of the 46th International ACM SIGIR Conference on Research and Development in Information Retrieval		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0606	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0607	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0608	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0609	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0610	proceedings-article	peer_reviewed	2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0611	proceedings-article	peer_reviewed	Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0612	proceedings-article	peer_reviewed	Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0613	proceedings-article	peer_reviewed	Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0614	proceedings-article	peer_reviewed	Proceedings of the 17th Conference of the European Chapter of the Association for Computational Linguistics		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0615	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0616	proceedings-article	peer_reviewed	2022 IEEE International Conference on Software Maintenance and Evolution (ICSME)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
